location,Event_Count,OIL_CAR_Mean,OIL_CAR_Std,OIL_CAR_Min,OIL_CAR_Max,BTC_CAR_Mean,GOLD_CAR_Mean,GPR_Diff_Mean,Is_Oil_Producer
Israel,22,-0.0114,0.0817,-0.188,0.1461,-0.0759,-0.0022,116.367,False
Ukraine,19,0.0201,0.0951,-0.1708,0.2351,0.0108,0.0089,119.4103,False
Gaza,17,0.0137,0.0856,-0.188,0.1473,-0.0215,0.0015,114.9692,False
Afghanistan,11,0.0651,0.2132,-0.1076,0.6785,0.0045,-0.0084,112.5362,False
Gaza Strip,11,0.0249,0.0688,-0.0776,0.1473,0.0426,-0.0009,122.1415,False
Syria,10,-0.0184,0.0712,-0.0932,0.1461,0.0274,0.0306,106.8324,True
Iraq,10,-0.0568,0.0791,-0.1708,0.0869,0.1011,-0.0097,152.4491,True
Lebanon,9,0.0058,0.0651,-0.0779,0.1461,-0.0857,-0.0006,108.8479,False
Russia,9,0.018,0.0737,-0.0779,0.1473,-0.0373,-0.0051,122.2815,True
Yemen,8,0.0136,0.075,-0.0932,0.1016,0.0234,0.0057,132.6578,True
Iran,7,-0.0207,0.0839,-0.1708,0.0869,-0.0304,-0.0148,142.4161,True
Donetsk,7,0.0276,0.0749,-0.0545,0.1461,-0.0457,0.0077,110.8386,False
United States,7,-0.0021,0.0831,-0.1277,0.1461,0.1395,-0.0069,117.1359,False
Myanmar,5,-0.0276,0.0486,-0.0776,0.0342,-0.0065,-0.011,92.7262,False
Kyiv,5,0.0405,0.0699,-0.0545,0.1107,-0.0111,0.0011,132.4695,False
West Bank,5,-0.0172,0.0394,-0.0776,0.0298,0.0252,-0.0047,118.4942,False
Nigeria,4,-0.0511,0.0727,-0.1435,0.0298,-0.0274,-0.0044,129.4002,True
Jerusalem,4,-0.0159,0.0396,-0.0641,0.0298,-0.0817,0.004,118.4645,False
Aleppo,4,-0.0082,0.0288,-0.0265,0.0341,0.0817,-0.0049,124.6562,False
Kabul,4,0.0479,0.054,-0.0092,0.1161,0.0495,-0.0026,111.1388,False
Egypt,4,-0.035,0.0597,-0.0932,0.0298,0.1042,-0.0043,146.3757,False
Saudi Arabia,4,0.011,0.0592,-0.0507,0.0917,-0.1775,-0.0204,94.9374,True
Congo,4,-0.0115,0.0361,-0.0507,0.0341,-0.0737,-0.0179,125.0763,False
Pakistan,4,-0.0036,0.1114,-0.098,0.1461,0.0642,-0.0018,106.5181,False
Poland,4,0.0284,0.0677,-0.053,0.1016,-0.09,-0.0021,134.5507,False
United Kingdom,4,0.0226,0.0357,-0.0103,0.0697,0.0208,0.0127,123.184,False
Somalia,4,0.0358,0.0674,-0.0507,0.0917,0.0035,-0.0331,151.5618,False
France,3,0.005,0.0716,-0.0456,0.0869,0.0448,0.0352,154.3484,False
Kashmir,3,0.0554,0.0595,-0.0029,0.1161,-0.1739,0.0038,105.5783,False
Australia,2,0.0092,0.1936,-0.1277,0.1461,0.0941,0.0095,126.6074,False
Sinai,2,-0.0317,0.087,-0.0932,0.0298,0.0794,-0.0561,212.223,False
Ethiopia,2,0.0045,0.0432,-0.0261,0.035,-0.001,-0.0196,106.5333,False
Damascus,2,-0.0705,0.009,-0.0768,-0.0641,-0.2121,0.0124,86.2998,False
India,2,-0.0061,0.0045,-0.0092,-0.0029,0.0667,-0.003,119.9287,False
Crimea,2,-0.0402,0.0528,-0.0776,-0.0029,0.1142,-0.0006,100.9809,False
Canada,2,-0.0103,0.1375,-0.1076,0.0869,0.0831,-0.0349,182.2647,False
Philippines,2,-0.0396,0.0542,-0.0779,-0.0012,-0.1547,0.0276,103.3397,False
Tehran,2,-0.0419,0.1823,-0.1708,0.0869,0.1344,0.0065,235.3877,False
United Arab Emirates,2,0.0354,0.0485,0.0011,0.0697,-0.0341,0.0352,91.7047,True
Sudan,2,0.0524,0.0246,0.035,0.0697,0.0376,0.0118,114.4418,False
Mariupol,2,-0.0174,0.0205,-0.0319,-0.0029,-0.0239,-0.0302,139.9373,False
Libya,2,0.3398,0.479,0.0011,0.6785,0.0269,0.0277,83.4538,True
Mali,2,0.0171,0.0959,-0.0507,0.0849,-0.1564,-0.0243,103.6305,False
Austria,1,-0.1523,,-0.1523,-0.1523,0.3645,-0.0295,106.0074,False
Azerbaijan,1,-0.0017,,-0.0017,-0.0017,-0.3067,-0.0025,109.7507,False
Colombia,1,-0.0012,,-0.0012,-0.0012,-0.0753,0.0612,107.4557,False
Belgium,1,-0.0932,,-0.0932,-0.0932,0.0908,-0.0607,230.4174,False
Bulgaria,1,-0.0545,,-0.0545,-0.0545,0.1002,0.0251,100.0428,False
Baghdad,1,-0.0261,,-0.0261,-0.0261,-0.061,-0.0444,89.9643,False
Indonesia,1,0.0618,,0.0618,0.0618,-0.2542,-0.05,97.7389,False
Ecuador,1,0.0423,,0.0423,0.0423,-0.1554,-0.0119,134.642,False
Dagestan,1,0.1107,,0.1107,0.1107,-0.2849,-0.0316,84.3042,False
Ghana,1,0.0298,,0.0298,0.0298,0.0679,-0.0514,194.0286,False
Haiti,1,-0.0103,,-0.0103,-0.0103,0.0834,0.0319,115.2982,False
Germany,1,0.1473,,0.1473,0.1473,0.0605,-0.0042,77.1467,False
Georgia,1,-0.0932,,-0.0932,-0.0932,0.0908,-0.0607,230.4174,False
Hungary,1,-0.0545,,-0.0545,-0.0545,0.1002,0.0251,100.0428,False
Middle East,1,-0.0017,,-0.0017,-0.0017,-0.3067,-0.0025,109.7507,True
Mosul,1,-0.0144,,-0.0144,-0.0144,0.4397,-0.0144,124.8128,False
Moldova,1,-0.0029,,-0.0029,-0.0029,-0.1141,-0.0439,118.5329,False
Qatar,1,0.0869,,0.0869,0.0869,0.0296,-0.038,256.9209,True
Palestine,1,-0.058,,-0.058,-0.058,0.1175,0.0283,107.0033,False
Nepal,1,0.0031,,0.0031,0.0031,-0.0456,0.0562,163.5769,False
Nagorno-Karabakh,1,-0.0017,,-0.0017,-0.0017,-0.3067,-0.0025,109.7507,False
Tanzania,1,0.0618,,0.0618,0.0618,-0.2542,-0.05,97.7389,False
Tajikistan,1,-0.0052,,-0.0052,-0.0052,-0.0618,-0.0616,76.1017,False
Taiwan,1,-0.0261,,-0.0261,-0.0261,-0.061,-0.0444,89.9643,False
Turkey,1,-0.1076,,-0.1076,-0.1076,0.1366,-0.0318,107.6085,False
